id,name,token,country,is_ico,is_ieo,is_sto,ico_start,ico_end,price_usd,raised_usd,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,bounty,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,platform,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,Coinmarketcap_identifier,ERC20,contract_address,Source
1,WINSSHI,WNS,India,1,0,0,2020-08-10,2020-12-31,0.01,500000,0.5,100000000,500000000,Yes,1,1,"Pakistan, Turkey, Somalia, Sirya, Sudan",50 USD,1,Available,,,5.0000000000000001E-3,0,"BTC, ETH, and Fiat currency",,https://www.linkedin.com/company/bitfinex-limited/,,,4,,,1,,ICObench
2,Tycoon,Tycoon Token / TYC,Cyprus,1,0,0,2020-08-01,2020-12-31,0.1,,0.6,,84000000,No,1,0,USA,,1,Available,2019-07-22,2019-10-31,,1,"ETH, BTC",https://www.tycoon.io/whitepaper.pdf,https://www.linkedin.com/company/tycoonio/about/,https://www.github.com/tycoon?tab=repositories,https://www.tycoon.io?utm_source=icobench,4.8,14,,1,,ICObench
3,Mindsync,MAI,UK,1,0,0,2019-03-01,2020-12-31,0.14000000000000001,4900000,0.5,,75000000,No,0,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia, Ukraine, Estonia, Russian Federation and North Korea",100 USD,1,Available,2018-12-15,2019-01-15,,0,"ETH, BTC, LTC",https://mindsync.ai/docs/whitepaper.pdf,https://www.linkedin.com/company/mindsync/,,,4.5,14,,1,,ICObench
4,PointPay,PXP,UK,1,0,0,2020-06-25,2021-01-31,0.1,,0.5,,500000000,Yes,1,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea, Yemen",0.10 USD,1,Available,,,0.1,0,"BTC, ETH, XRP, BNB, LTC, XLM, USDT, BCH, TRX, EOS",https://cdn.pointpay.io/WhitePaper__en.pdf?cache=1.4,https://www.linkedin.com/company/pointpay/about/,,,4.7,43,5640,1,0x15FA5d3DBD11a831b72B92C1705BC9F801E233CB,ICObench
5,LOHN,LOHN,Seychelles,1,0,0,,,0.06,,0.4,,400000000,Yes,1,1,"USA, CANADA, CHINA, SOUTH KOREA, SEYCHELLES",1 ETH,0,Available,,,0.03,1,ETH,https://lohncontrol.com/down/LOHN-white-paper-4.3.pdf,https://www.linkedin.com/showcase/lohncontrol,https://www.github.com/lohn7?tab=repositories,https://lohncontrol.com?utm_source=icobench,4.4,16,,1,,ICObench
6,Emanate,EMANATE,Australia,1,0,0,2018-07-30,2018-10-30,0.12,,423,,88000000,Yes,1,0,"USA, China",,0,Available,,,,1,"ETH, BTC",https://emanate.live/pdf/mn8-whitepaper-v12.pdf,https://www.linkedin.com/company/emanate-live/,https://www.github.com/EmaNonete-official?tab=repositories,https://emanate.live/?utm_source=icobench,4.1,14,3993,0,,ICObench
7,Hashbon,HASH,Czech Republic,1,0,0,2018-08-01,2018-11-03,0.11689620000000001,,0.75,,150000000,No,1,1,"Afghanistan, Bangladesh, Bolivia, Bosnia and Herzegovina, Canada, Ecuador, Ethiopia, Guyana, Iran-Islamic Republic of, Iraq, North Korea, Lao People's Democratic Republic, Sri Lanka, Sudan, Syrian Arab Republic, Trinidad and Tobago, Tunisia, Uganda, USA, Vanuatu, Yemen",100 HASH,1,Available,,,,1,"ETH, BTC, DASH, LTC, XMR, ZEC",https://hashbon.com/info/whitepaper_eng.pdf,https://www.linkedin.com/company/hashbon/,https://www.github.com/hashbon?tab=repositories,https://hashbon.com/?utm_source=icobench,4.4,16,,1,,ICObench
8,MetaHash,MHC,Russia,1,0,0,2018-06-29,,3.9100000000000003E-2,,0.12,,20240000,No,1,0,,,0,Available,,,,0,"ETH, BTC",https://metahash.org/docs/MetaHash_WhitePaper_EN.pdf,,https://www.github.com/metahashorg?tab=repositories,https://metahash.org/?utm_source=icobench,4.3,11,3756,1,,ICObench
9,2GETHER,2GT,Spain,1,0,0,,,,,0.17,,400000000,No,1,0,,10 EUR,1,Available,2019-04-10,,1 2GT = 0.05 EUR,1,"EUR, BTC, ETH",,TBD,,https://www.2gether.global/?utm_source=icobench,4.4,30,,1,,ICObench
10,Coinimp,IMP,Belize,1,0,0,2019-01-01,2020-12-31,0.01,,587,,320000000,No,0,1,,1 USD,0,Available,,,,0,"BTC, ETH, XMR",https://coinimp.com/coinimp-white-paper,https://www.linkedin.com/company/coinimp/,https://www.github.com/coinimp?tab=repositories,https://www.coinimp.com/tokensale?utm_source=icobench,4,25,,0,,ICObench
11,SaTT,SaTT,USA,1,0,0,2018-05-01,2020-12-31,4.1999999999999997E-3,,0.34,,68000000000,No,0,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea",,1,Available,,,,1,"ETH, BTC, Fiat",https://satt-token.com/files/ico_satt_en.pdf,https://www.linkedin.com/company/atayen-inc/,https://www.github.com/Atayen?tab=repositories,https://www.satt-token.com/?utm_source=icobench,4.5,15,7244,1,,ICObench
12,serenitysource,SERENITY/SET,Australia,1,0,0,2019-09-01,,0.1,,0.4,,200000000,Yes,1,1,"United States, Republic of China , North Korea , Afghanistan , Syria , Iraq",,1,Available,,,,1,"ETH, BTC, USD",,TBD,https://www.github.com/Serenity-Energy?tab=repositories,https://serenitysource.com.au/?utm_source=icobench,4.2,28,,1,,ICObench
13,BiPS,BiPS,UK,1,0,0,2018-11-15,2019-01-31,2.8928959999999999,,0.1,,50000000,Yes,1,1,"USA, China, Bangaldesh, Pakistan, Russia",0.1 ETH,0,Available,,,,0,ETH,https://s3.eu-west-2.amazonaws.com/bips-moneybrain/documents/Moneybrain_BiPS_Whitepaper_v1.pdf,https://www.linkedin.com/company/moneybrain-bips/,https://www.github.com/MoneybrainBiPS?tab=repositories,https://bips.moneybrain.com/?utm_source=icobench,3.1,24,,1,,ICObench
14,Hoard,HRD,Denmark,1,0,0,,,0.04,,0.28,,280000000,No,1,0,"USA, North Korea",,0,Available,,,,0,ETH,https://hoard.exchange/files/hoard-whitepaper.pdf,TBD,https://www.github.com/hoardexchange?tab=repositories,http://hoard.exchange/index.html?utm_source=icobench,4.3,9,,1,,ICObench
15,KardiaChain,KAI,Singapore,1,0,0,2019-06-01,,,,,,,No,0,0,"USA, Canada, New Zealand, China",,1,Available,,,,1,"ETH, BTC",https://dl.kardiachain.io/paper.pdf,https://www.linkedin.com/company/kardiachain,https://www.github.com/kardiachain?tab=repositories,https://www.kardiachain.io?utm_source=icobench,4.3,12,5453,1,,ICObench
16,MADANA,PAX,Germany,1,0,0,2018-09-01,2018-10-31,1.166466,,0.45,,55000000,Yes,1,1,"USA, Canada, China Mainland - Afghanistan, Algeria, Bolivia, Burundi, Cambodia, Crimea, Cuba, Ecuador, El Salvador, Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, North Korea, Kosovo, Kyrgyzstan, Laos, Libya, Malawi, Mali, Mozambique, Serbia, Somalia, Sri Lanka, Sudan, South Sudan, Syria, Tajikistan, Tanzania, Timor-Leste, Trinidad and Tobago, Tunisia, Uganda, Uzbekistan, Vanuatu, Venezuela, Yemen, Zimbabwe",100 EUR,0,Available,,,1 PAX = 0.5 EUR,1,"BTC, ETH, LSK",https://www.madana.io/whitepaper,https://www.linkedin.com/company/madana.io/,https://www.github.com/MADANone-IO?tab=repositories,http://madana.io?utm_source=icobench,3.9,15,,0,,ICObench
17,QUASA,QUA,Germany,1,0,0,2018-02-15,,0.31230000000000002,,,,50769000,No,1,0,"USA, China",0.01 ETH,1,Available,,,1 ETH = 6000 QUA,1,"ETH, BTC, BCH, LTC, Fiat",http://www.quasa.io/whitePaper,TBD,https://www.github.com/quasagroup?tab=repositories,http://www.quasa.io/?utm_source=icobench,4.2,12,,1,,ICObench
18,Solidified,Solid,Gibraltar,1,0,0,2018-07-23,2018-10-23,6.7627949550000004,,0.6,,2400000,Yes,1,1,,0.5 ETH,0,Available,,,,1,ETH,https://token.solidified.io/files/Solidified_Whitepaper.pdf,https://www.linkedin.com/company/solidified/,https://www.github.com/solidified-contracts?tab=repositories,https://token.solidified.io/?utm_source=icobench,4.4,12,,1,,ICObench
19,Terra Virtua,TVA,UK,1,0,0,2017-11-30,2017-11-30,0.08,,0.7,,840000000,No,1,0,USA,,0,Available,,,,0,"BTC, ETH",https://www.terravirtua.io/images/Terra_Virtua_Whitepaper_eng.pdf,https://www.linkedin.com/company/terravirtua/,,https://www.terravirtua.io?utm_source=icobench,3.9,10,,1,,ICObench
20,UCOIN,UCOIN,British Virgin Islands,1,0,0,2020-07-01,2021-06-30,1,,0.1,,500000000,No,1,1,"USA, China, Singapore",100 USD,0,Available,2020-07-01,2021-06-30,1,1,"ETH, BTC, Fiat",https://ucoincurrency.io/Whitepaper-Ucoin.pdf,https://www.linkedin.com/company/ucoincurrency/,https://www.github.com/ucoincurrency?tab=repositories,https://ucoincurrency.io/?utm_source=icobench,3.4,12,725,1,0xf832d55d0d9c0a591d2eb7f380161ce14b416475,ICObench
21,Attrace,ATTR,Netherlands,1,0,0,2018-07-12,2018-09-06,1.7000000000000001E-2,,0.5,,500000000,No,1,1,"USA, China",0.02 ETH,1,Available,2018-06-21,2018-07-05,2.5000000000000001E-2,1,"ETH, BTC, Fiat",https://attrace.com/pdf/attrace_whitepaper.pdf,https://www.linkedin.com/company/attrace/,https://www.github.com/attrace?tab=repositories,https://attrace.com?utm_source=icobench,3.9,18,,0,,ICObench
22,Betform,BFC,Singapore,1,0,0,2019-01-08,2019-01-31,0.1,,839,,201250000,Yes,1,1,"USA, Singapore",500 BFC,1,Available,2018-10-01,2018-10-31,7.0000000000000007E-2,1,ETH,https://www.betformcoin.io/Betform-White%20paper%202018_03.pdf,https://www.linkedin.com/company/betform/,https://www.github.com/GameDevICO?tab=repositories,https://www.betformcoin.io/?utm_source=icobench,3.9,9,,1,,ICObench
23,BiNeuro,BNR,UK,1,0,0,2018-03-27,2018-12-30,4.5011599700000002E-2,,,,850000000,No,0,1,USA,500 BNR,1,Available,,,1 BNR = 0.0001 ETH,1,ETH,https://bineuro.com/web/WhiteP.pdf,,https://www.github.com/BiNeuro?tab=repositories,https://bineuro.com/?utm_source=icobench,3.8,7,,1,,ICObench
24,CINEMADROM (PreICO),LUT,Cayman Islands,1,0,0,2020-11-01,2020-12-31,1,,0.1,,300000000,Yes,1,1,"USA, China",1000 USD,1,Available,,,,0,"ETH, BTC, USDT, Fiat",,https://www.linkedin.com/company/cinemadrom/,,,3.1,13,,1,,ICObench
25,CoVEX,COVEX,UK,1,0,0,2019-03-22,2019-05-09,0.5,,0.6,,15000000,No,1,1,"USA, China, Cuba, North Korea, Somalia, Iran.",0.1 ETH,1,Available,,,0.5,1,"ETH, BTC, LTC",https://covex.io/doc/whitepaper.pdf,https://www.linkedin.com/company/covexlab/,https://www.github.com/CoVEXcoin?tab=repositories,https://covex.io/?utm_source=icobench,4,13,,1,,ICObench
26,CrowdForce,CRF,Seychelles,1,0,0,2018-11-12,2018-12-14,0.03,,0.6,,300000000,No,0,1,"USA, Somalia, China","1,000 USD",1,Available,2018-09-15,2018-10-31,,0,"ETH, BTC, LTC, XRP",https://token.crowdforce.io/whitepaper.pdf,https://www.linkedin.com/company/crowdforce/,https://www.github.com/CrowdForceio?tab=repositories,https://token.crowdforce.io/?utm_source=icobench,3.8,15,,1,,ICObench
27,Crypto Potential,QCP,Switzerland,1,0,0,,,0.01,,0.5,,,Yes,1,1,USA,,1,Available,,,0.01,1,"ETH, BTC",,https://www.linkedin.com/company/28174884/,https://www.github.com/Crypto-Potential?tab=repositories,https://crypto-potential.com/?utm_source=icobench,4,9,,1,,ICObench
29,CWEX,CWEX,Switzerland,1,0,0,2019-01-10,2019-03-21,0.2,,0.62,,55180000,Yes,0,1,USA,,1,Available,2018-12-15,2019-01-09,0.16,1,"EOS, ETH, BTC, LTC",https://cwinex.io/wp-content/uploads/2018/10/CWEX_white_paper.pdf,https://www.linkedin.com/company/cwexio/,https://www.github.com/CWINEX?tab=repositories,https://cwinex.io/?utm_source=icobench,4.1,14,,0,,ICObench
30,GEMERA,GEMA,British Virgin Islands,1,0,0,2018-10-25,2018-12-12,1,,0.3,,30000000,Yes,1,0,"USA, Singapore",,1,Available,2018-09-10,2018-10-24,1,1,"ETH, BTC, BCH, LTC",https://src.gemera.io/src/GemeraWhitePaper.pdf,https://www.linkedin.com/company/gemera/,https://www.github.com/GemeraProject?tab=repositories,https://www.gemera.io/?utm_source=icobench,3.8,14,,1,,ICObench
31,GGPRO,GGP,Malta,1,0,0,2018-11-01,2019-01-01,8.4599999999999995E-2,,0.7,,70000000,Yes,0,1,USA,0.5 ETH,0,Available,2018-09-26,2018-10-30,4.2336250800000003E-2,1,"BTC, ETH, LTC",http://ggpro.io/Content/Files/WP.pdf,https://www.linkedin.com/company/ggpro/,https://www.github.com/GGProPlatform?tab=repositories,http://ggpro.io/?utm_source=icobench,4.2,13,,1,,ICObench
32,GOVEARN,bDLR,Cayman Islands,1,0,0,2019-06-23,2020-12-31,0.23918219205300001,,0.9,,2700000000,No,1,1,USA,7 ETH,0,Available,2019-03-19,2019-06-22,0.24038850086999999,1,ETH,https://www.govearn.io/white-paper,https://www.linkedin.com/company/berkshire-development-organization/,https://www.github.com/govearn-marketplace?tab=repositories,https://www.govearn.io?utm_source=icobench,4,7,,1,,ICObench
33,GreenLink,IMPACT,Singapore,1,0,0,2018-10-31,2018-08-31,8.8999999999999999E-3,,0.5,,5000000000,Yes,1,0,"USA, China",,1,Available,,,,0,ETH,https://s3-ap-southeast-1.amazonaws.com/greenlink-io/GreenLink-White-Paper.pdf,https://www.linkedin.com/company/greenlink-io/,https://www.github.com/greenlink-io?tab=repositories,https://www.greenlink.io/?utm_source=icobench,4.1,22,,1,,ICObench
34,HiveNet,HiveNet Token,Germany,1,0,0,,,0.08,,0.7,,700000000,Yes,0,0,"Afghanistan, China, Crimea Peninsula, Cuba, Eritrea, Gaza Strip, India, Iran, Iraq, Kosovo, Lebanon, Libya, Myanmar (Burma), North Korea, Palestine, Somalia, South Korea, South Sudan, Sudan, Syria, United States of America (accredited investors are permitted), Venezuela, Yemen",,0,Available,2019-09-24,2019-11-23,0.08,1,"ETH, USD, EUR",https://www.dropbox.com/s/h8vye9u1gjp97ei/HiveNet_WhitePaper_04.09.2019.pdf?dl=0,https://www.linkedin.com/company/hivenetcloud,https://www.github.com/HiveNetCloud?tab=repositories,https://www.hivenet.cloud/?utm_source=icobench,3.7,12,,1,,ICObench
35,HyperionX,TREE,USA,1,0,0,2019-04-04,2019-12-31,0.04,,0.7,,700000000,Yes,1,0,,,1,Available,2018-12-01,2019-01-31,0.03,1,ETH,http://bit.ly/PeerionPaper,https://www.linkedin.com/company/hyperionx/,https://www.github.com/hyperionxtech?tab=repositories,https://peerion.io/?utm_source=icobench,4.1,13,,1,,ICObench
36,Infleum,IFUM,Cayman Islands,1,0,0,2018-09-03,2018-11-30,0.02,,,,900000000,No,1,0,USA,0.1 ETH,1,Available,,,0.02,1,"ETH, BTC, BCH, LTC, ETC",https://goo.gl/MRK4Ui,https://www.linkedin.com/company/infleum/,https://www.github.com/infleum?tab=repositories,https://infleum.io/?utm_source=icobench,3.9,14,,1,,ICObench
37,KuBitX,KBX,Malta,1,0,0,,,1 KBX = 0.00011 ETH,,0.63,,260000000,Yes,1,1,"USA, China",0.25 ETH,0,Available,,,1 KBX = 0.00011 ETH,1,ETH,https://www.kubitx.io/img/gallery/KuBitX_WhitePaper.pdf,TBD,https://www.github.com/Kubitx?tab=repositories,https://www.kubitx.io?utm_source=icobench,3.8,20,,1,,ICObench
38,Ledder,ULED,Hong Kong,1,0,0,2019-08-01,2020-12-31,1.8100000000000002E-2,,0.69,,30000000,No,1,1,Hong Kong,10000 USD,1,Available,2019-02-20,2019-03-31,0.01,1,"ETH, USD",https://ledder.io/whitepaper,https://www.linkedin.com/company/ledderlimited/,https://www.github.com/ledderio?tab=repositories,https://ledder.io?utm_source=icobench,4.1,10,,1,,ICObench
39,Liquid8,LQ8,Singapore,1,0,0,2018-10-09,2018-11-07,0.1,,0.5,,350000000,Yes,1,1,"USA, China, Singapore",,0,Available,2018-08-25,2018-10-08,,0,ETH,https://lq8.io/assets/docs/whitepaper_4.pdf,,https://www.github.com/LQ8-Liquid8?tab=repositories,https://lq8.io/?utm_source=icobench,4.2,19,,1,,ICObench
40,Loligo,LLG,France,1,0,0,2019-03-01,2018-11-25,0.28710000000000002,,0.7,,11200000,Yes,1,1,"USA, China",,1,Available,,,,1,"ETH,Fiat",https://loligo.co/assets/doc/LOLIGO-EN-V0.68.pdf,,https://www.github.com/BlocZero?tab=repositories,https://loligo.co?utm_source=icobench,4.1,11,,1,,ICObench
41,LOVE Air Coffee,LAC,Ukraine,1,0,0,2019-08-01,2019-08-31,0.1107175,,125,,125000000,No,1,0,"USA, China",1 ETH,1,Available,2019-05-10,2019-05-27,5.6048149999999998E-2,1,ETH,https://tokensale.loveaircoffee.com/docs/Whitepaper_en_1.0.pdf,https://www.linkedin.com/company/lac-company/,https://www.github.com/LOVEAirCoffee?tab=repositories,https://tokensale.loveaircoffee.com?utm_source=icobench,3.5,16,,1,,ICObench
42,MEDICOHEALTH,MHP,Switzerland,1,0,0,2019-08-31,2019-03-15,0.08,,0.65,,325000000,Yes,1,1,"South Korea, USA, China",0.1 ETH,1,Available,2019-01-15,2019-02-14,0.08,1,ETH,https://medicohealth.io/landing_page/documents/wp-beta.pdf?v=1,https://www.linkedin.com/company/medicohealth/,https://www.github.com/MedicoHealth?tab=repositories,https://medicohealth.io/?utm_source=icobench,4.1,34,,1,,ICObench
43,Please,PLS,Cayman Islands,1,0,0,2019-02-04,2019-02-17,3.5999999999999997E-2,,0.65,,650000000,Yes,1,1,China,"1,000 PLS",1,Available,2019-01-14,2019-02-03,0.03,1,"ETH, BTC, BCH, LTC",https://protocol.please.com/assets/Please.com-Whitepaper.pdf,https://www.linkedin.com/company/pleasedotcom/,https://www.github.com/pleasedotcom?tab=repositories,https://protocol.please.com/?utm_source=icobench,4,17,,1,,ICObench
44,QuickX Protocol,QCX,Malta,1,0,0,2018-08-20,2018-09-30,3.6575324456166604E-2,,0.6,,300000000,Yes,1,1,USA,0.1 ETH,1,Available,,,7.0000000000000007E-2,1,ETH,https://www.quickx.io/whitepaper/QuickXProtocolv1.7.pdf,https://www.linkedin.com/company/quickx/,https://www.github.com/quickxprotocol?tab=repositories,https://www.quickx.io/?utm_source=icobench,4,21,3883,1,0xf9e5af7b42d31d51677c75bbbd37c1986ec79aee,ICObench
45,TruePlay,TPLAY,Belize,1,0,0,,,1 TPLAY = 0.0012 ETH,,0.6,,42000000,Yes,1,1,"USA, Canada, China",,1,Available,,,1 TPLAY = 0.0009 ETH,1,"ETH, BTC",https://trueplay.io/docs/en/TruePlayWhitePaper.pdf,TBD,https://www.github.com/TruePlayInfo?tab=repositories,https://trueplay.io/?utm_source=icobench,3.2,16,,1,,ICObench
46,Uris,URIS,Switzerland,1,0,0,,,0.2,,0.66,,69300000,No,1,1,"North Korea, Syria, Iran, Iraq, Ethiopia, Burma, Côte d’Ivoire, Sudan",,0,Available,2018-10-08,2019-01-31,,1,"BTC, ETH, LTC",https://ico.uris.io/static_files/whitepaper.pdf,TBD,https://www.github.com/uris-io?tab=repositories,https://ico.uris.io?utm_source=icobench,4,19,,1,,ICObench
47,Anything App,ANY,Netherlands,1,0,0,2018-07-14,2018-08-13,0.04,,0.5,,200000000,Yes,1,1,"Iran, Iraq, Cuba, Syria, Sudan North, Crimea, North Korea, Seychelles, Latvia, USA.",10 USD,1,Available,2018-06-11,2018-07-01,,1,ETH,https://anythingapp.com/whitepaper.pdf,https://www.linkedin.com/company/anything-app/,https://www.github.com/anythingapp?tab=repositories,https://anything.app?utm_source=icobench,4,13,,1,,ICObench
48,AvailCom,AVL,Singapore,1,0,0,2019-01-15,2019-02-15,0.03,,0.53,,1E+12,Yes,1,1,,10 USD,1,Available,2018-08-15,2018-09-15,1.95E-2,1,"BTC, ETH, BCH, LTC, DASH",https://goo.gl/36q7xL,https://www.linkedin.com/company/availcom/,https://www.github.com/AvailCom?tab=repositories,https://availcom.io/?utm_source=icobench,3.9,17,,1,,ICObench
49,Bethereum,BETHER,Hong Kong,1,0,0,2018-10-01,2018-12-31,1.31867431428571E-2,,0.6,,600000000,Yes,0,1,"USA, China, Hong Kong",,1,Available,2018-04-11,2018-04-25,2.7051253450549401E-2,1,ETH,https://www.bethereum.com/Bethereum-Whitepaper-EN.pdf,https://www.linkedin.com/company/bethereum/,https://www.github.com/bethereumproject?tab=repositories,https://www.bethereum.com/?utm_source=icobench,3.7,15,3373,1,0x14c926f2290044b647e1bf2072e67b495eff1905,ICObench
50,Big Data Block,BDB,USA,1,0,0,,,0.5,,0.57,,57000000,No,1,1,USA,0.01 ETH,0,Available,,,0.25,1,ETH,https://bigdatablock.com/wp-content/uploads/2018/04/BigDataBlock_Whitepaper_April2018.pdf,TBD,https://www.github.com/orgs?tab=repositories,https://bigdatablock.com/?utm_source=icobench,4.3,14,,1,,ICObench
51,BINCOIN,BINCOIN /BIN,USA,1,0,0,,,0.1,,0.5,,50000000,Yes,1,1,,,1,Available,2019-02-26,2019-06-11,0.1,1,"BTC, LTC, ETH, USD, TRON, USDT, XRP",,https://www.linkedin.com/company/11368080,https://www.github.com/bincoininc?tab=repositories,https://bincoins.io?utm_source=icobench,3.9,8,,0,0x7d548cb0b70767e36426eb5f9201abafe8c44f81,ICObench
52,Carnomaly,Carnomaly CARR,USA,1,0,0,2020-04-02,2020-05-02,0.25,,0.55,,530000000,No,1,0,,,1,,2020-03-01,2020-03-31,0.15,1,"BTC, ETH, LTC, XRP, USTD, BCH",https://carnomaly.io/wp-content/uploads/2020/01/Carnomoly_Whitepaper_1.23.20.pdf,https://www.linkedin.com/company/carnomaly/,https://www.github.com/Carnomaly?tab=repositories,https://carnomaly.io/?utm_source=icobench,4.4,3,,1,,ICObench
53,Centaure,CEN,Azerbaijan,1,0,0,2018-05-10,2018-07-10,581.82158240000001,,0.6,,30000000,Yes,0,0,"USA, China",,1,Available,,,"1 ETH = 5,000 CEN",0,"ETH, BTC",https://centaure.io/docs/whitepaper.pdf,https://www.linkedin.com/company/centaure/,https://www.github.com/centaureio?tab=repositories,https://centaure.io/?utm_source=icobench,3.5,4,3229,1,0x5301eae39a4cba1cc2a74e861fded062ca3e3420,ICObench
54,Connecty.io,CTY,France,1,0,0,,,1.1599999999999999E-2,,0.55,,1E+12,No,1,1,USA,150 EUR,1,Available,,,1 CTY = 0.0075 EUR,1,"XLM, BTC, ETH, Fiat",https://www.connecty.io/files/Connecty-WhitePaper-US-LastVersion.pdf,TBD,,https://www.connecty.io/ico/?utm_source=icobench,3.9,17,,0,,ICObench
55,Crypto APIs,Crypto APIs Token,Bulgaria,1,0,0,,,0.3,,0.25,,50000000,No,1,1,,,1,Available,2019-06-01,,0.17,0,"ETH, BTC, LTC, BCH, XRP, ADA, BTH, EOS, USDT, BNB",https://cryptoapis.io/docs/CryptoAPIs_WhitePaper.pdf?utm_source=CryptoAPIs&ver=1.2,TBD,https://www.github.com/Crypto-APIs?utm_source=icobench?tab=repositories,https://cryptoapis.io/?utm_source=icobench,3.9,7,,1,,ICObench
56,CRYSTALS,CRS,British Virgin Islands,1,0,0,,,0.1,1303105,0.7,,247000000,Yes,1,1,"USA, China",,0,Available,2018-05-29,2018-06-12,,1,"E<U+0422><U+041D>, B<U+0422><U+0421>, Fiat",https://www.crystals.io/whitepaper.pdf,TBD,https://www.github.com/crystalslove?tab=repositories,https://www.crystals.io/?utm_source=icobench,4,13,,1,,ICObench
57,DINNGO,DGO,Singapore,1,0,0,,,1 DGO = 0.0004705882 ETH,,0.5,,100000000,Yes,1,0,"USA, China",0.1 ETH,0,,,,,1,ETH,https://crowdsale-files.dinngo.co/whitepaper,TBD,https://www.github.com/Dinngo?tab=repositories,https://dinngo.co?utm_source=icobench,3.6,15,,1,,ICObench
58,EIPlatform,EMI,Estonia,1,0,0,,,0.1,,0.85,,748000000,No,0,1,"USA, China, Singapore",,1,Available,2018-09-15,2018-09-30,0.1,1,"BTC, ETH, LTC, Fiat",https://eiplatform.io/doc/WhitePaper-Eng.pdf,TBD,https://www.github.com/EIPlatform?tab=repositories,https://eiplatform.io/?utm_source=icobench,3.8,29,,1,,ICObench
59,Embleema,RWE,France,1,0,0,,,0.2,,0.3,,150000000,No,1,0,"USA, Canada, China, Iran, Sudan, Syria, North Korea, Crimea, New Zealand, Cuba",,1,Available,2017-10-10,2019-01-31,,0,"BTC, ETH, BCH, Fiat",http://whitepaper.embleema.com/,TBD,https://www.github.com/Embleema?tab=repositories,https://www.embleema.com/?utm_source=icobench,4.2,13,,1,,ICObench
60,EverLife.AI,EVER,Singapore,1,0,0,,,0.1,,0.4,,200000000,Yes,1,1,"USA, Canada, China",100 USD,1,Available,2018-10-01,2018-10-15,,0,"XLM, BTC, ETH",https://everlife.ai/assets/EverLifeAI_Whitepaper.pdf,TBD,https://www.github.com/everlifeai?tab=repositories,http://everlife.ai?utm_source=icobench,3.7,16,,0,,ICObench
61,Expercoin,EXPR,Cayman Islands,1,0,0,2019-03-01,2019-03-01,2.5000000000000001E-2,,0.45,,1237500000,Yes,1,1,China,,1,Available,2018-06-01,2018-07-31,0.02,1,ETH,https://bit.ly/2LnXznJ,https://www.linkedin.com/company/expercoin/,https://www.github.com/expercoin?tab=repositories,https://www.expercoin.com?utm_source=icobench,3.8,20,,1,,ICObench
62,FansUnite,FAN,Canada,1,0,0,,,,,0.5,,1000000000,No,1,0,,,1,Available,,,,0,ETH,https://fansunite.io/whitepaper.pdf,TBD,https://www.github.com/FansUnite12?tab=repositories,https://fansunite.io/?utm_source=icobench,3.9,14,,1,,ICObench
63,FarmaTrust,FTT,UK,1,0,0,2018-06-15,2018-07-01,0.05,20250000,0.6,,600000000,No,1,1,USA,100 USD,0,,2018-06-01,2018-06-15,0.04,0,"ETH, BTC, LTC, BCH, DASH, XRP, XMR, ZEC, Fiat",http://www.farmatrust.io/#whitepaper,https://www.linkedin.com/company/farmatrust/,https://www.github.com/FarmaTrust?tab=repositories,https://www.farmatrust.io/?utm_source=icobench,4.4,12,3168,1,0x2aec18c5500f21359ce1bea5dc1777344df4c0dc,ICObench
64,HELIX Orange,HIX,Germany,1,0,0,,,1 HIX = 0.01 EUR,,0.7,,3500000000,Yes,1,1,"Afghanistan, Belarus, Bosnia and Herzegovina, Canada, Central African Republic, the Crimean Peninsula, Cuba, the Democratic Republic of the Congo, Sudan, Somalia, Eritrea, Ethiopia, Syria, Gifu, Libya, Egypt, Iran, Iran, Villagers, Lebanon, New Zealand, China, Somalia, Sudan, Syria, Sri Lanka, Tunisia, Uganda, USA, Yemen, Vanuatu.",100 EUR,1,Available,2018-07-12,2018-07-27,,1,"ETH, BTC, Fiat",https://ico.helix-orange.com/wp-content/uploads/2018/08/HELIX-Orange_Whitepaper_v1.5.pdf,TBD,,https://ico.helix-orange.com/?utm_source=icobench,4.2,21,,1,0x7d937609532cd3b977e5187f33aac08af2c88e1d,ICObench
65,HyperQuant,HQT,Estonia,1,0,0,2018-07-30,2018-08-08,0.13026808328999998,,0.35,,70000000,Yes,1,1,USA,0.5 ETH,1,Available,2018-07-30,2018-08-08,9.9851641960000001E-2,1,ETH,https://hyperquant.net/en/wp/,https://www.linkedin.com/company/hyperquant/,https://www.github.com/hyperquant-platform?tab=repositories,https://hyperquant.net?utm_source=icobench,3.9,15,3615,1,0x3e1d5a855ad9d948373ae68e4fe1f094612b1322,ICObench
