id,name,token,country,is_ico,is_ieo,is_sto,ico_start,ico_end,price_usd,raised_usd,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,bounty,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,platform,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,Coinmarketcap_identifier,ERC20,contract_address,Source
4348,0x,ZRX,USA,1,0,0,2017-08-15,2017-09-15,7.0000000000000007E-2,24000000,0.5,,,,0,0,,,0,,,,,1,ETH,https://0xproject.com/pdfs/0x_white_paper.pdf,,https://www.github.com/0xProject?tab=repositories,https://0xproject.com/token?utm_source=icobench,3.1,3,1896,1,0xe41d2489571d322189246dafa5ebde1f4699f498,ICObench
4349,AAA Coin,AAA,Canada,1,0,0,2017-10-10,2017-11-28,1,,0.7,,97020000,,0,0,,,0,,,,,1,"ETH, BTC, LTC, Fiat",http://aaacoin.us/wp-content/uploads/2017/09/AAAcoin-White_Paper.pdf,,,http://aaacoin.us/?utm_source=icobench,2.4,1,,1,,ICObench
4350,AICoin,,Singapore,1,0,0,2017-07-17,2017-08-28,5.3999999999999999E-2,3000000,,,,,0,0,,,0,,,,,0,,,https://www.linkedin.com/in/aida-market/,https://www.github.com/AICoin-io?tab=repositories,https://www.aicoin.io/?utm_source=icobench,2.4,3,,1,,ICObench
4351,AIDA,AID,Estonia,1,0,0,2018-02-28,2018-05-25,0.25,2304106,0.76,,,,0,0,,,0,,2018-01-04,2018-01-27,,1,"ETH, BTC, BCC, LTC, Fiat",,https://www.linkedin.com/company/aida-service/,https://www.github.com/Aida-Market?tab=repositories,http://ico.aida.market/?utm_source=icobench,2.8,11,,1,,ICObench
4352,AKM GLOBAL,AKM,Germany,1,0,0,2017-09-30,2018-05-10,0.59499999999999997,,,,,,0,0,,,0,,,,,0,ETH,https://akminvest.com/wp-content/uploads/2017/09/Whitepaper-AKM-Global.pdf,https://www.linkedin.com/company/akm-global/,,https://akminvest.com/#ico?utm_source=icobench,2.5,5,,1,,ICObench
4353,Alendoo,XALT,UK,1,0,0,2019-04-01,2019-05-12,,,0.85,,85000000,No,0,0,,,0,,2019-03-18,2019-03-31,,0,ETH,,https://www.linkedin.com/company/allforminer/,,https://alendoo.io?utm_source=icobench,2.4,5,,1,,ICObench
4354,AllForMiner,MIT Token,Czech Republic,1,0,0,2018-05-15,2018-08-01,1.1599999999999999,553600,0.5,680525,5000000,No,0,0,,,1,,,,,0,ETH,https://forminerpro.com/storage/Whitepaper_en.pdf,,,https://forminerpro.com/en?utm_source=icobench,2.4,3,,1,,ICObench
4355,Amorito,AMO,Romania,1,0,0,2018-03-01,2018-03-22,5.7700000000000001E-2,,0.45,,450000000,No,0,0,"USA, China, Singapore",,0,,2018-02-07,2018-02-28,37.85339965,0,ETH,http://amoritotoken.com/Amorito_whitepaper.pdf,,https://www.github.com/Amorito?tab=repositories,http://amoritotoken.com?utm_source=icobench,2.4,,,1,,ICObench
4356,ARBITRAGING,ARB Token,Singapore,1,0,0,2018-01-15,2018-04-10,0.8,6000000,,,,,0,0,,,0,,2017-12-12,2017-12-28,,1,,http://arbitraging.co/index_files/docs/Whitepaper_EN.pdf,,,http://arbitraging.co?utm_source=icobench,2,4,2985,1,0xafbec4d65bc7b116d85107fd05d912491029bf46,ICObench
4357,Armors Labs,ARM  token,Unknown,1,0,0,2019-02-04,2019-03-04,1.4E-3,,0.15,,3150000000,,1,0,,,0,,,,,1,ETH,https://github.com/armors/ARM-Token-Audit/blob/master/armors.whitepaper.pdf,,https://www.github.com/armors?tab=repositories,https://armors.io/?utm_source=cryptorank,2.1,,,1,,ICObench
