id;name;token;country;is_ico;is_ieo;is_sto;ico_start;ico_end;price_usd;raised_usd;distributed_in_ico;sold_tokens;token_for_sale;whitelist;kyc;bonus;restricted_areas;min_investment;bounty;mvp;pre_ico_start;pre_ico_end;pre_ico_price_usd;platform;accepting;link_white_paper;linkedin_link;github_link;website;rating;teamsize;Coinmarketcap_identifier;ERC20
5684;Azultec;AZU;Germany;0;1;0;2019-05-20;2019-10-20;2.4E-2;NA;0.6;NA;NA;No;1;0;Iran, North Korea, Syria, Guyana, Iraq, Bosnia Herzegovina, Laos, Uganda, Vanuatu, Yemen, Ethiopia, Sri Lanka, Trinidad and Tobago, Tunisia;500 USD;0;Available;2019-03-05;2019-03-14;1.2E-2;0;ETH, BTC, Fiat;https://azultec.de/wp-content/uploads/EN_azultec-White-Paper.pdf;https://www.linkedin.com/company/azultec/;None;https://azultec.de/?utm_source=icobench;3.8;6;NA;1
5685;Futurepia;PIA;Northern Mariana Islands;0;1;0;2019-05-20;2019-05-21;4.7999999999999996E-3;NA;0.3;NA;6.66e+09;No;1;0;NA;NA;0;Available;2018-11-01;2018-12-31;NA;0;ETH, BTC;https://futurepia.io/assets/img/FUTUREPIA_WhitePaper_EN_v1.1.pdf;https://www.linkedin.com/company/sigmachain/;None;https://futurepia.io/?utm_source=icobench;4;23;4025;0
5686;Migranet;MIG;Costa Rica;0;1;0;2019-05-16;2019-08-15;0.2;NA;0.6;NA;5.1e+08;No;1;0;Iran, North Korea, USA;1 ETH;0;Available;NA;NA;NA;1;ETH;NA;NA;https://www.github.com/migranet?tab=repositories;https://migranet.io?utm_source=icobench;4;24;NA;1
5687;Allive;ALV;USA;0;1;0;2019-05-16;NA;6.0000000000000001E-3;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;file:///Users/user/Downloads/ALLIVE_WhitePaper_EN.pdf;TBD;None;https://allive.io/?utm_source=icobazaar;2;NA;NA;1
5688;Connectome;CNTM;Singapore;0;1;0;2019-05-15;NA;1.4999999999999999E-2;NA;0.75;NA;7.5e+08;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;NA;https://connectome.to/pdf/v1.pdf;https://www.linkedin.com/company/connectome/;None;https://connectome.to?utm_source=icobench;2;NA;6039;NA
5689;Rapidz;RPZX;Switzerland;0;1;0;2019-05-14;2019-06-13;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;NA;NA;1 RPZX = 0.00062556 ETH;1;ETH;https://www.rapidz.io/wp-content/themes/rapidz/WP-en.pdf;https://www.linkedin.com/company/rapidz-io/;None;https://www.rapidz.io?utm_source=icobench;2.6;13;4298;NA
5690;XCOYNZ;XCZ;UK;0;1;0;2019-05-10;2019-03-18;0.05;NA;0.6;NA;7.5e+08;No;1;1;NA;0.3 ETH;1;Available;NA;NA;NA;1;ETH, BTC, LTC, GBP, XLM, Fiat;https://www.xcoynz.com/WhitePaper-Full.html;https://www.linkedin.com/company/xcoynz/;https://www.github.com/xcoynz?tab=repositories;https://www.xcoynz.com/?utm_source=icobench;3.7;15;NA;1
5691;Thundercore;TT;USA;0;1;0;2019-05-09;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;NA;NA;NA;0;NA;NA;TBD;None;https://www.thundercore.com/?utm_source=icobench;3.1;1;NA;1
5692;Volum;VLM;Estonia;0;1;0;2019-05-04;2019-09-22;0.35;NA;0.74;NA;236800000;No;1;0;USA, China;NA;0;NA;2019-05-11;2019-05-31;0.28000000000000003;1;ETH;https://volum.io/wp-content/themes/volum/images/volum-whitepaper.pdf;https://www.linkedin.com/company/volumholdings/;None;https://volum.io/?utm_source=icobench;3.4;18;NA;1
5693;Fashion Coin;FSHN;France;0;1;0;2019-05-02;2019-06-20;2.0000000000000001E-4;NA;0.1;NA;1E+12;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;ETH;https://coin.fashion/storage/Fashion%20Coin%20Whitepaper%20[EN]%20.pdf;https://www.linkedin.com/company/coin-fashion/;None;https://coin.fashion/#section1?utm_source=icobench;2.7;8;6446;1
